***************  Scan008  ***************

Total no of clusters(textlines) = 21

No of Labels in each cluster:
Cluster code 39 has 15 labels
Cluster code 8 has 18 labels
Cluster code 9 has 17 labels
Cluster code 43 has 14 labels
Cluster code 13 has 21 labels
Cluster code 12 has 11 labels
Cluster code 14 has 11 labels
Cluster code 16 has 11 labels
Cluster code 18 has 13 labels
Cluster code 40 has 14 labels
Cluster code 25 has 11 labels
Cluster code 20 has 13 labels
Cluster code 23 has 12 labels
Cluster code 41 has 13 labels
Cluster code 29 has 7 labels
Cluster code 42 has 11 labels
Cluster code 31 has 9 labels
Cluster code 38 has 9 labels
Cluster code 33 has 16 labels
Cluster code 34 has 16 labels
Cluster code 35 has 5 labels

***************  Scan009  ***************

Total no of clusters(textlines) = 22

No of Labels in each cluster:
Cluster code 2 has 13 labels
Cluster code 9 has 19 labels
Cluster code 39 has 18 labels
Cluster code 1 has 19 labels
Cluster code 4 has 18 labels
Cluster code 5 has 17 labels
Cluster code 10 has 17 labels
Cluster code 11 has 19 labels
Cluster code 12 has 13 labels
Cluster code 14 has 12 labels
Cluster code 36 has 14 labels
Cluster code 16 has 7 labels
Cluster code 17 has 11 labels
Cluster code 25 has 13 labels
Cluster code 18 has 15 labels
Cluster code 37 has 23 labels
Cluster code 27 has 16 labels
Cluster code 38 has 16 labels
Cluster code 34 has 3 labels
Cluster code 35 has 2 labels
Cluster code 26 has 14 labels
Cluster code 30 has 9 labels

***************  Scan011  ***************

Total no of clusters(textlines) = 23
No of Labels in each cluster:
Cluster code 4 has 3 labels
Cluster code 45 has 10 labels
Cluster code 38 has 7 labels
Cluster code 10 has 18 labels
Cluster code 12 has 21 labels
Cluster code 8 has 12 labels
Cluster code 34 has 3 labels
Cluster code 39 has 13 labels
Cluster code 11 has 12 labels
Cluster code 35 has 2 labels
Cluster code 40 has 15 labels
Cluster code 36 has 2 labels
Cluster code 33 has 4 labels
Cluster code 15 has 1 labels
Cluster code 19 has 8 labels
Cluster code 42 has 14 labels
